ID,Name,Address,Phone Number,International Phone Number,Opening hours,Website,Business status,Rating,Total Reviewers,Google maps URL,Latitude,Longitude
ChIJpakyuTFxVhMR_EjfaTM9PW0,Family Winery „Nalej“,Timjanik,071 963 630,+389 71 963 630,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,5,2,https://maps.google.com/?cid=7871515014742362364,41.4688812,22.0836355
ChIJibR19sRxVhMRurAbtiRiA20,Notkov Winery,"Leninova 35, Negotino",071 229 766,+389 71 229 766,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=7855230084877889722,41.48324,22.0946753
ChIJbUOE48B6VhMRt6WbQXwj0r8,Winery „Popov“,"F2RC+JH6, Sopot",043 551 000,+389 43 551 000,[],http://popovwinery.com.mk/,OPERATIONAL,4.6,30,https://maps.google.com/?cid=13822149222937109943,41.4915359,22.0213826
ChIJacEi5bmNVRMRa6QXwZwNyKg,GALVIN WINERY&VINEYARDS,"VGM4+882, Marsal Tito, Vinica",N/A,N/A,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=12161985760619635819,41.883273,22.5057707
ChIJBdNGt9llVhMR2m2SDzUV02o,Winery „Eros“,"MK, Marshal Tito 59, Marena",071 375 795,+389 71 375 795,"['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",N/A,OPERATIONAL,4.5,10,https://maps.google.com/?cid=7697519505745014234,41.4667585,22.0301764
ChIJOztc23aNVRMRX0DyR4kvyw0,Galvin,"VFVR+P9V, Vinica",N/A,N/A,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=993940409429409887,41.8945413,22.4905057
ChIJi8-UuTlxVhMRm15XfkrI8AU,Winery „Paragon“,"G4C8+R4, Krivolak",071 302 478,+389 71 302 478,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",N/A,OPERATIONAL,4.8,12,https://maps.google.com/?cid=428062186872987291,41.5220625,22.1153125
ChIJ4UMLcQTDVRMRy0WlpJ7DIBs,Ezimit,"Ul. Bregalnicka 64a, Shtip",032 387 809,+389 32 387 809,[],http://www.ezimit.mk/,OPERATIONAL,4.5,11,https://maps.google.com/?cid=1954777324413339083,41.7755648,22.18112
ChIJ2YFKoDbDVRMRUQAj6-SzJ3c,Anevski Winery,"Q53C+VH7, Shtip",070 394 157,+389 70 394 157,"['Monday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",http://www.acpwinery.com/,OPERATIONAL,4.2,5,https://maps.google.com/?cid=8586029010383994961,41.7546567,22.1714311
ChIJF6O74m0CqhQR5od65h9Ofj0,Dalvina Winery,"R1302, Hamzali",034 375 578,+389 34 375 578,"['Monday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",http://www.dalvina.com.mk/,OPERATIONAL,4.8,20,https://maps.google.com/?cid=4431064982296889318,41.4899341,22.7446734
